ParameterId;Date;Value
8;02.08.2011;44,44444
9;02.08.2011;1,176471
10;02.08.2011;1,111734
11;02.08.2011;0,9997674
12;02.08.2011;0,5327123
13;02.08.2011;0,3429926
14;02.08.2011;0,6982324
15;02.08.2011;3,56506
20;02.08.2011;0,1860307
21;02.08.2011;4,921759
22;02.08.2011;4,437222
23;02.08.2011;2,787521
24;02.08.2011;641,1717
25;02.08.2011;0,1297638
26;02.08.2011;305,3079
28;02.08.2011;59,24113
29;02.08.2011;58,5
30;02.08.2011;3046,024
31;02.08.2011;2,682795
34;02.08.2011;25,72569
35;02.08.2011;371,5767
36;02.08.2011;0,9586984
37;02.08.2011;0,9306931
38;02.08.2011;8,486818
39;02.08.2011;37,57576
40;02.08.2011;1,053856
41;02.08.2011;1,259382
42;02.08.2011;1,047014
43;02.08.2011;11,6
44;02.08.2011;0,46
45;02.08.2011;0,3
46;02.08.2011;0,6
47;02.08.2011;89
48;02.08.2011;8,4
49;02.08.2011;35,13812
50;02.08.2011;56,92972
51;02.08.2011;1867,399
52;02.08.2011;3,966499
53;02.08.2011;1164,228
54;02.08.2011;1962,518
55;02.08.2011;424,9798
1;02.08.2011;1,330156
2;02.08.2011;0,9311092
3;02.08.2011;0,3990468
4;02.08.2011;1250,416
5;02.08.2011;219,4098
6;02.08.2011;0,615
7;02.08.2011;19,3
8;02.08.2011;43,96355
9;02.08.2011;1,189937
10;02.08.2011;1,143626
11;02.08.2011;0,9997219
12;02.08.2011;0,5201713
13;02.08.2011;0,334918
14;02.08.2011;0,6817948
15;02.08.2011;3,423429
20;02.08.2011;0,1871335
21;02.08.2011;4,554751
22;02.08.2011;4,748893
23;02.08.2011;2,7666
24;02.08.2011;633,4554
25;02.08.2011;0,1388784
26;02.08.2011;354,4119
28;02.08.2011;45,81562
29;02.08.2011;63
30;02.08.2011;3162,724
31;02.08.2011;2,887088
34;02.08.2011;27,12746
35;02.08.2011;423,3886
36;02.08.2011;0,9773585
37;02.08.2011;0,9478958
38;02.08.2011;7,978179
39;02.08.2011;35,58823
40;02.08.2011;1,054328
41;02.08.2011;1,26171
42;02.08.2011;1,046169
43;02.08.2011;11,4
44;02.08.2011;0,46
45;02.08.2011;0,3
46;02.08.2011;0,6
47;02.08.2011;89,5
48;02.08.2011;7,9
49;02.08.2011;35,40794
50;02.08.2011;56,93538
51;02.08.2011;1836,558
52;02.08.2011;4,01213
53;02.08.2011;1253,189
54;02.08.2011;2112,831
55;02.08.2011;420,2166
1;03.08.2011;1,353733
2;03.08.2011;0,9476132
3;03.08.2011;0,4061199
4;03.08.2011;1251,583
5;03.08.2011;207,5838
6;03.08.2011;0,44
9;03.08.2011;1,203797
10;03.08.2011;1,240263
