ParameterId;Date;Value
8;22.09.2021 8:00;43,98148
8;22.09.2021 16:00;41,04308
8;23.09.2021 0:00;45,5914
8;23.09.2021 8:00;43,87528
8;23.09.2021 16:00;43,56659
8;24.09.2021 0:00;41,39535
8;24.09.2021 8:00;44,39462
8;24.09.2021 16:00;44,24379
8;25.09.2021 0:00;41,37931
8;25.09.2021 8:00;46,42857
8;25.09.2021 16:00;44,15011
8;26.09.2021 0:00;45,91611
8;26.09.2021 8:00;42
8;26.09.2021 16:00;44,39025
8;27.09.2021 0:00;42,91845
8;27.09.2021 8:00;42,06896
8;27.09.2021 16:00;43,90244
8;28.09.2021 0:00;40,41994
8;28.09.2021 8:00;44,5977
8;28.09.2021 16:00;43,20176
8;29.09.2021 0:00;30,30303
8;03.10.2021 8:00;27,87879
8;03.10.2021 16:00;28,1768
8;04.10.2021 0:00;31,79191
8;04.10.2021 8:00;28,96936
8;05.10.2021 0:00;34,5
8;05.10.2021 8:00;32,82051
8;05.10.2021 16:00;39,75904
8;06.10.2021 0:00;39,31204
8;06.10.2021 8:00;40,90909
8;06.10.2021 16:00;42,65734
8;07.10.2021 0:00;41,68674
8;07.10.2021 8:00;45,41176
8;07.10.2021 16:00;44,57547
8;08.10.2021 0:00;44,64286
8;08.10.2021 8:00;41,19048
8;08.10.2021 16:00;40,67796
8;09.10.2021 0:00;44,23529
8;09.10.2021 8:00;38,65979
8;09.10.2021 16:00;41,54229
8;10.10.2021 0:00;42,85714
8;10.10.2021 8:00;45
8;10.10.2021 16:00;44,41687
8;11.10.2021 0:00;43,37349
8;11.10.2021 8:00;45,09346
8;11.10.2021 16:00;45,28302
8;12.10.2021 0:00;44,31554
8;12.10.2021 8:00;44,94382
8;12.10.2021 16:00;43,82022
8;13.10.2021 0:00;44,18605
8;13.10.2021 8:00;41,98113
8;13.10.2021 16:00;42,35294
8;14.10.2021 0:00;43,52941
8;14.10.2021 8:00;44,57275
8;14.10.2021 16:00;44,70046
8;15.10.2021 0:00;43,86364
8;15.10.2021 8:00;44,52055
8;15.10.2021 16:00;44,84305
8;16.10.2021 0:00;44,82759
8;16.10.2021 8:00;45,81395
8;16.10.2021 16:00;44,70588
8;17.10.2021 0:00;46,41256
8;17.10.2021 8:00;44,36781
8;17.10.2021 16:00;42,85714
8;18.10.2021 0:00;43,52941
8;18.10.2021 8:00;43,80952
8;18.10.2021 16:00;45,6621
8;19.10.2021 0:00;42,05608
8;19.10.2021 8:00;44,14415
8;19.10.2021 16:00;44,23963
8;20.10.2021 0:00;44,73684
8;20.10.2021 8:00;41,43763
8;20.10.2021 16:00;41,78404
8;21.10.2021 0:00;43,8914
8;21.10.2021 8:00;42,98642
8;21.10.2021 16:00;42,22738
8;22.10.2021 0:00;43,23144
8;22.10.2021 8:00;45,53191
8;22.10.2021 16:00;45,81498
8;23.10.2021 0:00;42,65403
8;23.10.2021 8:00;46,22222
8;23.10.2021 16:00;44,21769
8;24.10.2021 0:00;43,44978
8;24.10.2021 8:00;41,66666
8;24.10.2021 16:00;43,43892
8;25.10.2021 0:00;44,14415
8;25.10.2021 8:00;42,88889
8;25.10.2021 16:00;40,69767
8;26.10.2021 0:00;43,57143
8;26.10.2021 8:00;44,05286
8;26.10.2021 16:00;42,70386
8;27.10.2021 0:00;40,39301
8;27.10.2021 8:00;42,73504
8;27.10.2021 16:00;43,97463
8;28.10.2021 0:00;43,03534
8;28.10.2021 8:00;41,81034
8;28.10.2021 16:00;41,9426
8;29.10.2021 0:00;42,67241
8;29.10.2021 8:00;41,29033
8;29.10.2021 16:00;41,68421
8;30.10.2021 0:00;39,30131
8;30.10.2021 8:00;44,86373
8;30.10.2021 16:00;39,81482
8;31.10.2021 0:00;41,841
8;31.10.2021 8:00;42,79661
8;31.10.2021 16:00;41,31868
8;01.11.2021 0:00;43,73673
8;01.11.2021 8:00;42,69912
8;01.11.2021 16:00;42,47191
8;02.11.2021 0:00;41,9426
8;02.11.2021 8:00;41,83007
8;02.11.2021 16:00;41,24168
8;03.11.2021 0:00;41,0989
8;03.11.2021 8:00;44,16136
8;03.11.2021 16:00;40,6181
8;04.11.2021 0:00;41,18943
8;04.11.2021 8:00;43,4968
8;04.11.2021 16:00;46,94323
8;05.11.2021 0:00;42,98441
8;05.11.2021 8:00;40,69767
8;05.11.2021 16:00;44,57014
8;06.11.2021 0:00;44,9244
8;06.11.2021 8:00;42,82655
8;06.11.2021 16:00;42,70386
8;07.11.2021 0:00;41,75589
8;07.11.2021 8:00;42,45283
8;07.11.2021 16:00;42,12766
8;08.11.2021 0:00;41,66667
8;08.11.2021 8:00;42,19409
8;08.11.2021 16:00;46,30435
8;09.11.2021 0:00;43,03798
8;09.11.2021 8:00;45,39474
8;09.11.2021 16:00;44,15011
8;10.11.2021 0:00;43,23144
8;10.11.2021 8:00;41,98312
8;10.11.2021 16:00;41,11111
8;11.11.2021 0:00;40,66666
8;11.11.2021 8:00;42,17391
8;11.11.2021 16:00;45,5914
8;12.11.2021 0:00;41,94915
8;12.11.2021 8:00;43,87991
8;12.11.2021 16:00;45,13274
8;13.11.2021 0:00;45,13274
8;13.11.2021 8:00;42,7907
8;13.11.2021 16:00;40
8;14.11.2021 0:00;41,57549
8;14.11.2021 8:00;43,56223
8;14.11.2021 16:00;41,15044
8;15.11.2021 0:00;41,29033
8;15.11.2021 8:00;44,06779
8;15.11.2021 16:00;43,18658
8;16.11.2021 0:00;39,91507
8;16.11.2021 16:00;40,47619
8;17.11.2021 0:00;43,30357
8;17.11.2021 8:00;40,44445
8;17.11.2021 16:00;39,11111
8;18.11.2021 0:00;40,68522
8;18.11.2021 8:00;40,25974
8;18.11.2021 16:00;39,52991
8;19.11.2021 0:00;41,30435
8;19.11.2021 8:00;41,91489
8;19.11.2021 16:00;41,91489
8;20.11.2021 0:00;41,48472
8;20.11.2021 8:00;43,19149
8;20.11.2021 16:00;43,44828
8;21.11.2021 0:00;43,379
8;21.11.2021 8:00;40,90909
8;21.11.2021 16:00;40,72398
8;22.11.2021 0:00;42,82609
8;22.11.2021 8:00;43,51648
8;22.11.2021 16:00;41,37168
8;23.11.2021 0:00;43,45992
8;23.11.2021 8:00;40,84821
8;23.11.2021 16:00;41,95652
8;24.11.2021 0:00;42,79379
8;24.11.2021 8:00;42,06009
8;24.11.2021 16:00;42,98642
8;25.11.2021 0:00;41,96428
8;25.11.2021 8:00;40,63205
8;25.11.2021 16:00;40,23256
8;26.11.2021 0:00;40,94828
8;26.11.2021 8:00;40,67797
8;26.11.2021 16:00;42,37288
8;27.11.2021 0:00;40,9396
8;27.11.2021 8:00;41,55844
8;27.11.2021 16:00;41,22807
8;28.11.2021 0:00;42,02247
8;28.11.2021 8:00;42,88939
8;28.11.2021 16:00;42,69663
8;29.11.2021 0:00;41,45786
8;29.11.2021 8:00;40,21978
8;29.11.2021 16:00;39,9568
8;30.11.2021 0:00;40,86021
8;30.11.2021 8:00;44,32548
8;30.11.2021 16:00;41,22622
8;01.12.2021 0:00;42,34801
8;01.12.2021 8:00;41,15139
8;01.12.2021 16:00;43,67816
8;02.12.2021 0:00;41,75824
8;02.12.2021 8:00;39,69631
8;02.12.2021 16:00;43,56659
8;03.12.2021 0:00;43,77778
8;03.12.2021 8:00;40,50926
8;03.12.2021 16:00;38,60045
8;04.12.2021 0:00;40,43478
8;04.12.2021 8:00;41,12554
8;04.12.2021 16:00;41,75589
8;05.12.2021 0:00;41,68514
8;05.12.2021 8:00;40,43956
8;05.12.2021 16:00;42,17391
8;06.12.2021 0:00;43,2967
8;06.12.2021 8:00;41,73729
8;06.12.2021 16:00;42,76169
8;07.12.2021 0:00;43,19654
8;07.12.2021 8:00;44,27646
8;07.12.2021 16:00;42,75701
8;08.12.2021 0:00;44,05286
8;08.12.2021 8:00;43,23725
8;08.12.2021 16:00;43,0131
8;09.12.2021 0:00;43,47826
8;09.12.2021 8:00;42,92237
8;09.12.2021 16:00;43,47826
8;10.12.2021 0:00;42,70153
8;10.12.2021 8:00;40,33614
8;10.12.2021 16:00;41,03672
8;11.12.2021 0:00;41,46342
8;11.12.2021 8:00;42,55814
8;11.12.2021 16:00;41,2844
8;12.12.2021 0:00;42,47191
8;12.12.2021 8:00;41,83007
8;12.12.2021 16:00;42,32456
8;13.12.2021 0:00;42,98642
8;13.12.2021 8:00;43,79085
8;13.12.2021 16:00;42,5486
8;14.12.2021 0:00;43,14159
8;14.12.2021 8:00;43,91304
8;14.12.2021 16:00;44,68085
8;15.12.2021 0:00;43,53448
8;15.12.2021 8:00;43,22034
8;15.12.2021 16:00;44,18052
8;16.12.2021 0:00;43,26711
8;16.12.2021 8:00;43,95604
8;16.12.2021 16:00;42,73684
8;17.12.2021 0:00;42,8884
8;17.12.2021 8:00;44,13043
8;17.12.2021 16:00;45,05495
8;18.12.2021 0:00;43,95604
8;18.12.2021 8:00;45,05495
8;18.12.2021 16:00;42,82609
8;19.12.2021 0:00;42,52874
8;19.12.2021 8:00;44,68085
8;19.12.2021 16:00;44,32314
8;20.12.2021 0:00;46,3895
8;20.12.2021 8:00;44,46855
8;20.12.2021 16:00;41,841
8;21.12.2021 0:00;43,14607
8;21.12.2021 8:00;43,46895
8;21.12.2021 16:00;46,03524
8;22.12.2021 0:00;42,76458
8;22.12.2021 8:00;44,73118
8;22.12.2021 16:00;45,35637
8;23.12.2021 0:00;44
8;23.12.2021 8:00;42,17391
8;23.12.2021 16:00;43,86364
8;24.12.2021 0:00;46,2039
8;24.12.2021 8:00;43,43892
8;24.12.2021 16:00;43,97463
8;25.12.2021 0:00;44,8718
8;25.12.2021 8:00;41,91489
8;25.12.2021 16:00;44,07484
8;26.12.2021 0:00;44,49152
8;26.12.2021 8:00;39,82684
8;26.12.2021 16:00;41,03672
8;27.12.2021 0:00;42,29935
8;27.12.2021 8:00;42,50559
8;27.12.2021 16:00;42,73128
8;28.12.2021 0:00;42,70833
8;28.12.2021 8:00;43,66812
8;28.12.2021 16:00;42,60485
8;29.12.2021 0:00;44,68085
8;29.12.2021 8:00;44,14226
8;29.12.2021 16:00;41,08696
8;30.12.2021 0:00;42,57642
8;30.12.2021 8:00;45,11111
8;30.12.2021 16:00;43,11512
8;31.12.2021 0:00;42,88889
8;31.12.2021 8:00;39,2435
8;31.12.2021 16:00;40,53398
8;01.01.2022 0:00;41,9426
8;01.01.2022 8:00;41,64811
8;01.01.2022 16:00;42,50559
8;02.01.2022 0:00;42,04546
8;02.01.2022 8:00;43,45992
8;02.01.2022 16:00;43,07036
8;03.01.2022 0:00;44,53782
8;03.01.2022 8:00;44,39746
8;03.01.2022 16:00;41,81034
8;04.01.2022 0:00;44,72574
8;04.01.2022 8:00;41,9426
8;04.01.2022 16:00;42,69663
8;05.01.2022 0:00;44,15585
8;05.01.2022 8:00;43,44086
8;05.01.2022 16:00;44,03471
8;06.01.2022 0:00;43,76368
